term,type,canonical,source
cyclosporine,Treatment,cyclosporine,evaluation_v2
warfarin,Treatment,warfarin,evaluation_v2
laparoscopic appendectomy,Treatment,laparoscopic appendectomy,evaluation_v2
appendectomy,Treatment,appendectomy,evaluation_v2
laparoscopic exploration,Treatment,laparoscopic exploration,evaluation_v2
tracheostomy,Treatment,tracheostomy,evaluation_v2
hepatic repair,Treatment,hepatic repair,evaluation_v2
chest tubes,Treatment,chest tube,evaluation_v2
ketamine,Treatment,ketamine,evaluation_v2
dexmedetomidine,Treatment,dexmedetomidine,evaluation_v2
lidocaine,Treatment,lidocaine,evaluation_v2
cranioplasty,Treatment,cranioplasty,evaluation_v2
excision,Treatment,surgical excision,evaluation_v2
plasmapheresis,Treatment,plasmapheresis,evaluation_v2
steroid treatment,Treatment,corticosteroid therapy,evaluation_v2
rituximab,Treatment,rituximab,evaluation_v2
amoxicillin,Treatment,amoxicillin,evaluation_v2
clarithromycin,Treatment,clarithromycin,evaluation_v2
triple-therapy,Treatment,triple therapy,evaluation_v2
mycophenolate mofetil,Treatment,mycophenolate mofetil,evaluation_v2
MMF,Treatment,mycophenolate mofetil,evaluation_v2
pericardiocentesis,Treatment,pericardiocentesis,evaluation_v2
amputation,Treatment,amputation,evaluation_v2
incision and drainage,Treatment,incision and drainage,evaluation_v2
nitroglycerin,Treatment,nitroglycerin,evaluation_v2
